Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Xu, Xing Yue; Tran, Thi Hoa My; Perumalsamy, Haribalan; Sanjeevram, Dhandapani; Kim, Yeon-Ju; ",Biosynthetic gold nanoparticles of Hibiscus syriacus L. callus potentiates anti-inflammation efficacy via an autophagy-dependent mechanism,Materials Science and Engineering: C,124,,112035,2021,Elsevier
"Wang, Rongbo; Xu, Xingyue; Puja, Aditi Mitra; Perumalsamy, Haribalan; Balusamy, Sri Renukadevi; Kim, Hoon; Kim, Yeon-Ju; ",Gold nanoparticles prepared with Phyllanthus emblica fruit extract and Bifidobacterium animalis subsp. lactis can induce apoptosis via mitochondrial impairment with inhibition of autophagy in the human gastric carcinoma cell line AGS,Nanomaterials,11,5,1260,2021,MDPI
"Dhandapani, Sanjeevram; Xu, Xingyue; Wang, Rongbo; Puja, Aditi Mitra; Kim, Hoon; Perumalsamy, Haribalan; Balusamy, Sri Renukadevi; Kim, Yeon-Ju; ",Biosynthesis of gold nanoparticles using Nigella sativa and Curtobacterium proimmune K3 and evaluation of their anticancer activity,Materials Science and Engineering: C,127,,112214,2021,Elsevier
"Chan, Yinghan; Ng, Sin Wi; Tan, Joycelin Zhu Xin; Gupta, Gaurav; Negi, Poonam; Thangavelu, Lakshmi; Balusamy, Sri Renukadevi; Perumalsamy, Haribalan; Yap, Wei Hsum; Singh, Sachin Kumar; ",Natural products in the management of obesity: Fundamental mechanisms and pharmacotherapy,South African Journal of Botany,143,,176-197,2021,Elsevier
"Arumugam, Poornima; Sampathkumar, Banupriya; Perumalsamy, Haribalan; Balusamy, Sri Renukadevi; Ramesh, Vignesh; Sundaravadevel, Sumathi; ","Synergistic effect of anethole and doxorubicin alleviates cell proliferation, cell cycle arrest, and ER stress and promotes ROS‐mediated apoptosis in triple‐negative breast cancer cells",Journal of Biochemical and Molecular Toxicology,35,12,e22928,2021,
"Balusamy, Sri Renuakdevi; Karuppieh, Santhiya; Venkat, Sumathi; Thangavelu, Lakshmi; Kim, Yeon Ju; Perumalsamy, Haribalan; ",Biomedical applications of ginsenosides nanoparticles synthesized using microbes,Agri-waste and microbes for production of sustainable nanomaterials,,,625-653,2022,Elsevier
"Bae, Jiwon; Kim, Ji Eun; Perumalsamy, Haribalan; Park, Sehee; Kim, Yun; Jun, Dae Won; Yoon, Tae Hyun; ",Mass Cytometry study on hepatic fibrosis and its drug-induced recovery using mouse peripheral blood mononuclear cells,Frontiers in Immunology,13,,814030,2022,Frontiers Media SA
"Balusamy, Sri Renukadevi; Rahimi, Shadi; Sukweenadhi, Johan; Sunderraj, Sneha; Shanmugam, Rajeshkumar; Thangavelu, Lakshmi; Mijakovic, Ivan; Perumalsamy, Haribalan; ","Chitosan, chitosan nanoparticles and modified chitosan biomaterials, a potential tool to combat salinity stress in plants",Carbohydrate Polymers,284,,119189,2022,Elsevier
"Mi, Xiao-Jie; Choi, Han Sol; Perumalsamy, Haribalan; Shanmugam, Rajeshkumar; Thangavelu, Lakshmi; Balusamy, Sri Renukadevi; Kim, Yeon-Ju; ",Biosynthesis and cytotoxic effect of silymarin-functionalized selenium nanoparticles induced autophagy mediated cellular apoptosis via downregulation of PI3K/Akt/mTOR pathway in gastric cancer,Phytomedicine,99,,154014,2022,Urban & Fischer
"Bae, Jiwon; Ha, My; Perumalsamy, Haribalan; Lee, Yangsoon; Song, Jaewoo; Yoon, Tae-Hyun; ",Mass cytometry exploration of immunomodulatory responses of human immune cells exposed to silver nanoparticles,Pharmaceutics,14,3,630,2022,MDPI
"Begum, Naziya; Balusamy, Sri Renukadevi; Chellappan, Dinesh Kumar; Dua, Kamal; Perumalsamy, Haribalan; ",Inflammatory respiratory diseases: correlation between lung cancer and COVID-19,Advanced Drug Delivery Strategies for Targeting Chronic Inflammatory Lung Diseases,,,25-44,2022,Springer Singapore Singapore
"Thangavelu, Lakshmi; Raghunandhakumar, S; Anand, RS; Balusamy, Sri Renukadevi; Devaraj, Ezhilarasan; Veeramuthu, Ashok Kumar; Roy, Anitha; Ramesh, Sindhu; Perumalsamy, Haribalan; David, Sheba; ",Recent trends in nanomedicine for diagnosis and treatment of pulmonary diseases,Advanced Drug Delivery Strategies for Targeting Chronic Inflammatory Lung Diseases,,,207-218,2022,Springer Singapore Singapore
"Karuppieh, Santhiya; Balusamy, Sri Renukadevi; Sundaravadivelu, Sumathi; Thangavelu, Lakshmi; Perumalsamy, Haribalan; ",Advanced drug delivery systems targeting the immune system at cellular level in chronic respiratory diseases,Advanced drug delivery strategies for targeting chronic inflammatory lung diseases,,,333-358,2022,Springer Singapore Singapore
